### Footprint positions - created on Tue Jul 28 14:56:41 2026 ###
### Printed by KiCad version 7.0.10
## Unit = mm, Angle = deg.
## Side : bottom
# Ref     Val             Package                                           PosX       PosY       Rot  Side
C14       10uF            C_1210_3225Metric_Pad1.33x2.70mm_HandSolder   140.7372    17.3000    0.0000  bottom
C15       10uF            C_1210_3225Metric_Pad1.33x2.70mm_HandSolder   140.7372    13.8000    0.0000  bottom
C16       10uF            C_1210_3225Metric_Pad1.33x2.70mm_HandSolder   140.7372     7.0000    0.0000  bottom
C17       10uF            C_1210_3225Metric_Pad1.33x2.70mm_HandSolder   140.7372     3.4000    0.0000  bottom
C18       4.7uF           C_0805_2012Metric_Pad1.18x1.45mm_HandSolder   140.7372    10.4000    0.0000  bottom
C19       4.7uF           C_0805_2012Metric_Pad1.18x1.45mm_HandSolder   145.6622    25.3625    0.0000  bottom
C20       100nF           C_0603_1608Metric_Pad1.08x0.95mm_HandSolder   145.5310    27.2625    0.0000  bottom
C21       100nF           C_0603_1608Metric_Pad1.08x0.95mm_HandSolder   138.2622    37.0350   90.0000  bottom
C22       4.7uF           C_0805_2012Metric_Pad1.18x1.45mm_HandSolder   136.3622    37.2350   90.0000  bottom
C23       33nF            C_0603_1608Metric_Pad1.08x0.95mm_HandSolder    57.6997     4.5500  -90.0000  bottom
C37       33nF            C_0603_1608Metric_Pad1.08x0.95mm_HandSolder   129.4372    57.9500  -90.0000  bottom
C52       33nF            C_0603_1608Metric_Pad1.08x0.95mm_HandSolder   129.4372    78.9500  -90.0000  bottom
C67       33nF            C_0603_1608Metric_Pad1.08x0.95mm_HandSolder   129.4372    36.9500  -90.0000  bottom
C70       2.2nF           C_0603_1608Metric_Pad1.08x0.95mm_HandSolder    54.8372    12.9625   90.0000  bottom
C71       2.2nF           C_0603_1608Metric_Pad1.08x0.95mm_HandSolder    49.0372    12.9500   90.0000  bottom
C72       2.2nF           C_0603_1608Metric_Pad1.08x0.95mm_HandSolder    42.6372     3.8062    0.0000  bottom
C73       2.2nF           C_0603_1608Metric_Pad1.08x0.95mm_HandSolder    44.6372    12.9625   90.0000  bottom
C74       2.2nF           C_0603_1608Metric_Pad1.08x0.95mm_HandSolder    21.0872    65.5000  -90.0000  bottom
C75       2.2nF           C_0603_1608Metric_Pad1.08x0.95mm_HandSolder    26.8372    65.5000  -90.0000  bottom
C76       100nF           C_0603_1608Metric_Pad1.08x0.95mm_HandSolder    19.6375    81.2133   90.0000  bottom
C77       100nF           C_0603_1608Metric_Pad1.08x0.95mm_HandSolder    22.3522    77.6250    0.0000  bottom
R2        33R             R_0603_1608Metric_Pad0.98x0.95mm_HandSolder   120.5843   123.7375   90.0000  bottom
R5        100k            R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    59.2872     7.9625  -90.0000  bottom
R6        4.22k           R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    59.2872     4.5500  -90.0000  bottom
R12       100k            R_0603_1608Metric_Pad0.98x0.95mm_HandSolder   127.7372    61.4500  -90.0000  bottom
R13       4.22k           R_0603_1608Metric_Pad0.98x0.95mm_HandSolder   127.7372    57.9500  -90.0000  bottom
R19       100k            R_0603_1608Metric_Pad0.98x0.95mm_HandSolder   127.7372    82.4500  -90.0000  bottom
R20       4.22k           R_0603_1608Metric_Pad0.98x0.95mm_HandSolder   127.7372    78.9500  -90.0000  bottom
R26       100k            R_0603_1608Metric_Pad0.98x0.95mm_HandSolder   127.7372    40.4500  -90.0000  bottom
R27       4.22k           R_0603_1608Metric_Pad0.98x0.95mm_HandSolder   127.7372    36.9500  -90.0000  bottom
R28       33R             R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    43.0872    73.9000  -90.0000  bottom
R30       33R             R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    37.6872    73.9000   90.0000  bottom
R31       20R             R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    42.6497     5.4562  180.0000  bottom
R32       20R             R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    43.0372    12.9625  -90.0000  bottom
R33       20R             R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    53.2372    12.9625   90.0000  bottom
R34       20R             R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    50.6372    12.9500   90.0000  bottom
R35       20R             R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    22.6872    65.5000   90.0000  bottom
R36       20R             R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    25.2372    65.5000   90.0000  bottom
R38       33R             R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    31.6872    73.9125   90.0000  bottom
R39       33R             R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    29.0872    73.9000   90.0000  bottom
R40       0R              R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    13.1372    75.6000  -90.0000  bottom
R41       0R              R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    14.8872    73.9000  -90.0000  bottom
R42       120R            R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    22.3872    84.2633  180.0000  bottom
R47       0R              R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    23.2875    86.7633   90.0000  bottom
R48       0R              R_0603_1608Metric_Pad0.98x0.95mm_HandSolder    21.4375    86.7633  -90.0000  bottom
U1        AS5047P-ATSM    TSSOP-14_4.4x5mm_P0.65mm                      119.9872   129.3500   90.0000  bottom
U4        AP2114D         TO-252-2                                      140.0472    31.6600  180.0000  bottom
U12       MCP2562FD-E/MF  DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm           22.3522    81.2133   90.0000  bottom
## End
