07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 392:Plugin executed on: 'win32'
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 393:Plugin executed with python version: '3.9.16 (main, Oct 13 2023, 05:50:11) [MSC v.1936 64 bit (AMD64)]'
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 394:KiCad build version: 7.0.10
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 395:Plugin version: 2.1.3
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 396:Frame repr: <wx._core.Frame object at 0x00000174F5CF3EE0>
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 420:Preparing replicator with U9 as a reference
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.replicate_layout 117:getting a list of all footprints on board
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 468:source anchor footprint is 'U9'
Located on: ['escSheet', 'HalfBridgePowerStage3']
With filenames: ['escSheet.kicad_sch', 'HalfBridgePowerStage.kicad_sch']
With sheet_id:['escSheet', 'HalfBridgePowerStage3']
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 475:Corresponding footprints are 
[('U9', ['escSheet', 'HalfBridgePowerStage3']), ('U7', ['escSheet', 'HalfBridgePowerStage2']), ('U5', ['escSheet', 'HalfBridgePowerStage1'])]
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 487:Showing dialog
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.replicate_layout 424:constructing a list of sheets suitable for replication on level:'HalfBridgePowerStage3', file:'HalfBridgePowerStage.kicad_sch'
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.replicate_layout 461:suitable sheets are:[['escSheet', 'HalfBridgePowerStage1'], ['escSheet', 'HalfBridgePowerStage2']]
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1464:Level selected: ['escSheet', 'HalfBridgePowerStage3']
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1299:Filtering list of tracks
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 493:Toolbar position: wx.Point(1699, 125)
07-14 19:39:17 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 498:Dialog position: wx.Point(1260, 125)
07-14 19:39:23 com_github_MitjaNemec_ReplicateLayout.replicate_layout 424:constructing a list of sheets suitable for replication on level:'HalfBridgePowerStage3', file:'HalfBridgePowerStage.kicad_sch'
07-14 19:39:23 com_github_MitjaNemec_ReplicateLayout.replicate_layout 461:suitable sheets are:[['escSheet', 'HalfBridgePowerStage1'], ['escSheet', 'HalfBridgePowerStage2']]
07-14 19:39:23 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1464:Level selected: ['escSheet', 'HalfBridgePowerStage3']
07-14 19:39:23 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1299:Filtering list of tracks
07-14 19:39:23 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
07-14 19:39:23 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
07-14 19:39:23 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
07-14 19:39:23 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
